SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
Sccpdh,109232,saccharopine dehydrogenase (putative),-2.5701301475574034,1.3525828131537463,-9.091799212160879,2.669403344719997e-6,3.5522623769646856e-4,5.2243044033893336
Pik3r5,320207,phosphoinositide-3-kinase regulatory subunit 5,1.7370191766643144,7.408025060951662,9.084062694773836,2.6908645776420693e-6,3.5522623769646856e-4,5.05494149184972
Kif3a,16568,kinesin family member 3A,-2.2754771165906607,2.5877322759335684,-9.082290566558965,2.6958067841965423e-6,3.5522623769646856e-4,5.211356990015709
Rgs9,19739,regulator of G-protein signaling 9,-2.5868850893605746,1.2647649892441364,-9.067301993833874,2.738003594563033e-6,3.5522623769646856e-4,5.179823344975759
Spry2,24064,sprouty RTK signaling antagonist 2,4.7193306358137175,1.6700181491617243,9.06502381670703,2.7444797322342596e-6,3.5522623769646856e-4,4.773245362926653
Txlnb,378431,taxilin beta,-2.1452221415644277,1.6949503255755891,-9.055509733056644,2.771705354031399e-6,3.5522623769646856e-4,5.187445591859104
Serinc5,218442,serine incorporator 5,-1.4159625083747036,5.71809941820802,-9.035152594561527,2.8309484638037597e-6,3.5919074108742104e-4,5.007928147822099
Csf1,12977,colony stimulating factor 1 (macrophage),-2.301463061375519,3.571024400578029,-9.061149663004494,2.9713594994769217e-6,3.6994513501767195e-4,5.040194532846801
Cass4,320664,Cas scaffolding protein family member 4,-2.572833571603079,1.794640110683428,-8.984091161273046,2.9856751982105365e-6,3.6994513501767195e-4,5.107634338731327
Slfn5_3,NA,NA,-2.042832654927701,2.8420720116173497,-8.978495742124212,3.0031800840810383e-6,3.6994513501767195e-4,5.106821017034928
Cst7,13011,cystatin F (leukocystatin),1.4115079849547207,6.940359255808887,8.946681222808772,3.1048483127389505e-6,3.7879149415415196e-4,4.911794855008195
Mpp2,50997,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)",-2.219696275534883,1.9740079941443627,-8.919200813839035,3.1956727711556946e-6,3.82059851646181e-4,5.045197037452983
Adgrg5,382045,adhesion G protein-coupled receptor G5,5.220102321697089,5.206700839003309,8.91611835020894,3.251157359479067e-6,3.82059851646181e-4,4.704555437203375
Selplg,20345,"selectin, platelet (p-selectin) ligand",1.4151917509933343,8.679599262961581,8.897658774104695,3.2688843089573166e-6,3.82059851646181e-4,4.8738369541802005
Ramp1,51801,receptor (calcitonin) activity modifying protein 1,-2.104943792660314,5.132922845312986,-8.908024469418038,3.2941100674339144e-6,3.82059851646181e-4,4.905266129993096
Sell,20343,"selectin, lymphocyte",1.9994870537124472,9.35017893132541,8.929205479346717,3.3104988831714265e-6,3.82059851646181e-4,4.869173264082415
Gm3383,100041515,predicted gene 3383,-2.3452602826671205,1.4739666579767243,-8.883340803566714,3.318549247460219e-6,3.82059851646181e-4,5.0022353061861935
Cd200r1,57781,CD200 receptor 1,-1.6344590019480556,3.2443368062649176,-8.876541080741383,3.3424214638024977e-6,3.82059851646181e-4,4.95356986121201
Smco4,170748,single-pass membrane protein with coiled-coil domains 4,-1.6113521441044352,4.90826062036579,-8.86042640696729,3.3997428351352605e-6,3.8453480554542004e-4,4.8336597473839635
Ctla2b,13025,cytotoxic T lymphocyte-associated protein 2 beta,2.531015215589157,4.234447146763147,8.853505524518939,3.424687344469772e-6,3.8453480554542004e-4,4.961316979709709
Btla,208154,B and T lymphocyte associated,-1.3481072532303386,7.174441629239824,-8.820957005266301,3.544690073791328e-6,3.9451778645845933e-4,4.780298276038845
Rasgrp2_1,NA,NA,1.3184240353874905,6.75227027613249,8.812391846257958,3.577020953743254e-6,3.9465427705299484e-4,4.761133727680043
Hid1,217310,HID1 domain containing,2.160673046831677,5.016025255637022,8.799122930492691,3.627739832827601e-6,3.967996810251431e-4,4.9126997324657005
Arhgap31,12549,Rho GTPase activating protein 31,-1.489366652998573,4.674253758649701,-8.764113888881278,3.765336947990735e-6,4.0832987347099527e-4,4.746113979365187
Rasgrp2,19395,"RAS, guanyl releasing protein 2",1.303422376149431,6.7724566575917216,8.73847331795177,3.8696979494272464e-6,4.1609091171468566e-4,4.678516207229215
Hip1,215114,huntingtin interacting protein 1,1.8237436068592272,4.931476734134699,8.703402421834232,4.017548875108335e-6,4.2564159297593895e-4,4.661028377306536
Amica1,NA,NA,3.045089450478776,5.04195119735445,8.701529720415676,4.025614057149486e-6,4.2564159297593895e-4,4.822772554747891
Tnfsf4,22164,"tumor necrosis factor (ligand) superfamily, member 4",2.5850177429447583,4.0060847268260975,8.821842333362333,4.106784206595416e-6,4.306353554816747e-4,4.745081421171651
Acsbg1,94180,acyl-CoA synthetase bubblegum family member 1,1.7599931542738885,5.368466396013008,8.674076735982402,4.145881535300713e-6,4.311716796712741e-4,4.656165435942185
Susd3,66329,sushi domain containing 3,-1.5605480209543567,3.9125851617752923,-8.624200224744719,4.37446327862716e-6,4.5124544779854805e-4,4.629866242725706
Klrk1,27007,"killer cell lectin-like receptor subfamily K, member 1",6.009133783748794,5.229640670654657,8.924991737136638,4.695108687234988e-6,4.8041563728739943e-4,4.522096877542921
Gm3095,100041012,predicted gene 3095,-2.242371252834803,2.1516484199367074,-8.546952577653759,4.755872986127306e-6,4.827401315838661e-4,4.651021070885921
Spsb1_1,NA,NA,-2.418766747550875,1.8598505492499808,-8.514752381337283,4.9253684903007155e-6,4.893174242073466e-4,4.579844761393193
Tns1,21961,tensin 1,1.8137082581724275,3.9583053391961345,8.510727905568773,4.947008297432994e-6,4.893174242073466e-4,4.5872127809730205
Gm14569,101055983,predicted gene 14569,3.9580061752803375,1.5772758278937262,8.507843899009185,4.9625790657333055e-6,4.893174242073466e-4,4.388537850029296
Mrgpre,244238,"MAS-related GPR, member E",-2.841235539735722,0.11387411868971803,-8.50556270689361,4.974932828085412e-6,4.893174242073466e-4,4.568134316549736
Osgin1,71839,oxidative stress induced growth inhibitor 1,-3.0643773094676234,0.542923897932625,-8.445734017927762,5.311122516958442e-6,5.138490941788004e-4,4.538435336874844
Snx2,67804,sorting nexin 2,-1.137627195673943,6.893206802788395,-8.433409351106276,5.383387735996942e-6,5.138490941788004e-4,4.3382211466218745
Sp6,83395,trans-acting transcription factor 6,-2.544730113356761,1.8292503727394511,-8.423534542652469,5.4420565662783555e-6,5.138490941788004e-4,4.524690866813777
Fam134b,NA,NA,-1.0579741822992847,6.5674443248708645,-8.423073963001686,5.444809835178766e-6,5.138490941788004e-4,4.323316019714016
St6gal1,20440,"beta galactoside alpha 2,6 sialyltransferase 1",-1.8259754558546737,7.080359772262295,-8.436549947179076,5.4591434991876655e-6,5.138490941788004e-4,4.33312845210415
Gm3194,100042054,predicted gene 3194,-2.257243575962793,1.3862811817370089,-8.419314226365037,5.467341402438371e-6,5.138490941788004e-4,4.5208342619474085
Rad51b,19363,RAD51 paralog B,-1.6227958249990282,4.521283169812642,-8.409935598169081,5.523987374279444e-6,5.143905596267707e-4,4.358361694122021
Tgfb3,21809,"transforming growth factor, beta 3",-3.106812350738732,1.2837522722550094,-8.403782002488347,5.561499517593537e-6,5.143905596267707e-4,4.497494545692689
Ugcg,22234,UDP-glucose ceramide glucosyltransferase,1.4103765235794619,7.628668496040382,8.398368674184182,5.594727082951951e-6,5.143905596267707e-4,4.289712431931107
Cttn,13043,cortactin,-1.6679672876006686,2.2942630404924413,-8.390858596535185,5.641181115658004e-6,5.149302589602068e-4,4.423503995542985
Adgrb2,230775,adhesion G protein-coupled receptor B2,3.6169830632647777,2.113044521545045,8.343931640386806,5.941075358828141e-6,5.384311725200818e-4,4.00076443222534
Glipr2,384009,GLI pathogenesis-related 2,1.138062489037254,7.411704498280326,8.319635976265937,6.1030840666821746e-6,5.49190997433074e-4,4.197874605334048
Plcb4,18798,"phospholipase C, beta 4",-2.216506270045584,4.917401794389484,-8.50927677258011,6.154847442340576e-6,5.499486221719523e-4,4.25462481864787
Atp1a3,232975,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",-3.644190118981048,0.7496270459863222,-8.407517669567525,6.369891663375676e-6,5.651831148595145e-4,4.387116794915845
Tasp1,75812,"taspase, threonine aspartase 1",-1.0719967458131183,4.972458394358775,-8.273844743526018,6.421580579617499e-6,5.658125999596308e-4,4.198998877508167
Lmo1,109594,LIM domain only 1,5.145612294243341,1.3911392092932389,8.265430682886848,6.482036711878072e-6,5.672005641400619e-4,3.5741032175330307
Saraf,67887,store-operated calcium entry-associated regulatory factor,1.0454752573516934,8.05549248127555,8.243636901377554,6.641510712243902e-6,5.771745747736345e-4,4.127787423299878
Fgd6,13998,"FYVE, RhoGEF and PH domain containing 6",-2.2400446177236475,2.4040460004136146,-8.228361434943078,6.755816320444598e-6,5.831142685292589e-4,4.312337990471377
Il1rl2,107527,interleukin 1 receptor-like 2,-1.680713977508172,3.7331272097488015,-8.181021367582673,7.123791558566717e-6,6.107207249668547e-4,4.170825757900689
Gm3667,100042100,predicted gene 3667,-2.5796269264367133,1.2034887112401076,-8.135350151830206,7.499423430223901e-6,6.386086206891333e-4,4.215611668047194
Tbc1d30,74694,"TBC1 domain family, member 30",-1.5684590801155314,2.9093842949378885,-8.11911963341595,7.638030210286579e-6,6.460755153874408e-4,4.140680267032999
Mical3,194401,"microtubule associated monooxygenase, calponin and LIM domain containing 3",-2.263889464289898,2.8546646855709374,-8.112552127832657,7.694901350173038e-6,6.465755518608974e-4,4.171002432393575
Ptp4a3,19245,protein tyrosine phosphatase 4a3,1.0954274413828102,6.4341952077878,8.073283983326638,8.044644510116175e-6,6.715161154233817e-4,3.925002384502644
Adgrb2_1,NA,NA,3.250440509993434,3.0594371619287495,8.041755910977368,8.337897702687905e-6,6.851285281223798e-4,4.003372345042862
Gucy2g,73707,guanylate cyclase 2g,-2.708760313437985,-0.38006058651604746,-8.040914095881995,8.34588449912789e-6,6.851285281223798e-4,4.084520964356554
Bend4,666938,BEN domain containing 4,2.1687673613003198,3.6461493477283082,8.03840769207284,8.369713261268039e-6,6.851285281223798e-4,4.105109864563018
Gm3558,100041874,predicted gene 3558,-1.56181553852281,2.5250770346199642,-8.025337389752101,8.49517274637471e-6,6.874195016172407e-4,4.061946560803004
Podnl1,244550,podocan-like 1,-1.4126467325309298,6.052513111621725,-8.023267413863833,8.515227946479255e-6,6.874195016172407e-4,3.8588057729105403
Dab2ip,69601,disabled 2 interacting protein,-2.3911654025152353,1.2458201669278317,-8.018641030002792,8.560236542837644e-6,6.874195016172407e-4,4.08714210008803
Dst,13518,dystonin,-1.6887301273169992,4.473926980121979,-8.00517273316278,8.6927362960861e-6,6.936694221681788e-4,3.8725901857010507
Tnfaip8,106869,"tumor necrosis factor, alpha-induced protein 8",-1.2877722642607772,7.14252211025517,-7.985797581905114,8.88725230067985e-6,7.047591074439121e-4,3.8269153378232383
Pkp3,56460,plakophilin 3,-1.1231943162073232,5.286914464523863,-7.9780408363876045,8.966440712517526e-6,7.066223587603875e-4,3.8019284277905587
Pfn2,18645,profilin 2,-1.3724445511610126,2.687290504424301,-7.961822341119112,9.13449133631435e-6,7.154223831799782e-4,3.946013123257589
Acss1,68738,acyl-CoA synthetase short-chain family member 1,1.4354945235353496,6.442804172143244,7.893186261003759,9.88433233039932e-6,7.694012798043347e-4,3.703329452838969
Ryr1,20190,"ryanodine receptor 1, skeletal muscle",-1.4911918782489475,3.36028281956765,-7.880053784550118,1.0035247449652326e-5,7.763854856170043e-4,3.7929037570233834
Smad7,17131,SMAD family member 7,1.0851928454054134,6.069568787645281,7.870337345548243,1.0148508992018352e-5,7.803895884286596e-4,3.6954556281111497
Eomes,13813,eomesodermin,1.9557351791026862,7.821395125039417,7.969231979812844,1.0328201596943122e-5,7.858313431587425e-4,3.6795605171080306
Dse,212898,dermatan sulfate epimerase,1.844378724342631,4.491624544485023,7.853910571440782,1.0343145831298076e-5,7.858313431587425e-4,3.829922437080608
Creb3l2,208647,cAMP responsive element binding protein 3-like 2,-1.4839197881995876,2.61112391603601,-7.810184530389482,1.0881183883973249e-5,8.217884590467415e-4,3.7679159181751363
Gpm6b,14758,glycoprotein m6b,-1.4192442552289455,4.202036464425495,-7.7864379267540444,1.1185991545264928e-5,8.39809826782967e-4,3.6056892394569813
Robo1,19876,roundabout guidance receptor 1,-2.683464905409479,0.8161960391379243,-7.755173272538282,1.1601450457234896e-5,8.658776670670375e-4,3.718177764421082
Gm3591,NA,NA,-2.5748770094540445,0.7142390347626757,-7.744066297930347,1.175303388150551e-5,8.720613677692511e-4,3.7630404545070357
Ascl2,17173,achaete-scute family bHLH transcription factor 2,-2.968313293883138,0.22226176069502368,-7.729635260790699,1.1953187330437269e-5,8.745057215331795e-4,3.7602851529425276
